TXNAME	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENST00000221972	294	223	199	63	38	57
ENST00000221975	44	63	56	308	197	199
ENST00000221992	0	0	0	102	23	174
ENST00000222005	3466	3830	3223	2691	1876	3280
ENST00000222008	1944.3092	1665.50322	1698.79812	2824.99997	2145.70054	2897.99999
ENST00000222120	21	38	15	26	19	29
ENST00000222122	13	11	5	11	6	44
ENST00000222139	35	53	31	17	14	25
ENST00000222157	2	0	6	0	0	1
ENST00000222190	228	167	164	133	102	117
ENST00000222214	375	410	318	186	135	199
ENST00000222219	1683	1677	1500	479	239	582
ENST00000222224	797	1009	925	476	372	443
ENST00000222247	54625	50306	48505	209917	140042	166208
ENST00000222250	1	3	1	3	1	2
ENST00000222256	43	41	38	193	104	269
ENST00000222266	112	101	158	128	75	107
ENST00000222284	1104.7448	1069.54974	2119.99996	1665	1192.5	1332.5
ENST00000222305	16	18	9	7	23	28
ENST00000222329	3	9	2	2	3	12
ENST00000222330	7	0	3	2	2	4
ENST00000222374	4	11	7	5	1	9
ENST00000222388	36	45	34	9	7	9
ENST00000222402	104	146	105	91	61	77
