GENEID	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENSG00000023171	21	36.00001	26	2	2	3
ENSG00000023191	4454.99998	4169.99999	4346.00001	4894.99996	4439.99998	5619
ENSG00000023228	2758.99999	3271	3234.99999	2649.99999	1791.99999	2317.00001
ENSG00000023287	928	493.99999	693	397	359	267
ENSG00000023318	3028.00001	2817.00001	2815.00002	1972.99999	1015	1629
ENSG00000023330	1167.00001	1166.00002	1108.00001	1277.00001	1124.99999	1423.99997
ENSG00000023445	157	128.00001	166	589	306	390
ENSG00000023516	179.00001	119.99999	122.00001	147	121.99999	87.00001
ENSG00000023572	1148	1345	1230	925	547	639
ENSG00000023608	2531	2407	2496.99999	713	443	535
ENSG00000023697	1742.00001	1621.00001	1505	2874.99999	1808.00001	2318
ENSG00000023734	3932	3805	3330	4218.00001	2205	3401
ENSG00000023839	10.00001	3	7	358.00001	295.00001	207
ENSG00000023892	179	197	188.00001	145.99998	202	180.99999
ENSG00000023902	174	131	146	55	79	44
ENSG00000023909	228	173	172	225	257	112
ENSG00000024048	259	222	285	178	106	122
ENSG00000024422	3270.99999	2649.00001	3187.99999	2461	4499.99999	2216.99999
ENSG00000024526	312.00001	303	264.00001	442	389	402
ENSG00000024862	653	615	618	441	258	342
ENSG00000025039	50	36	49	45	46	40
ENSG00000025156	142	139	130	84	42	71
ENSG00000025293	2248	1796	1805.99999	1585.00001	1159.99999	984.99999
ENSG00000025423	377.99999	338.99999	401.99999	29.99999	10	18
ENSG00000025434	327.00002	315.99998	323.99999	363	321.99999	366.99999
ENSG00000025708	868	1080.00001	1081.00001	337.99998	463.00002	348
ENSG00000025770	462.99999	442	385	595.99998	1792.99999	613.00001
ENSG00000025772	1535.00001	1744	1528.00001	1790.00001	1380.00001	1970
ENSG00000025796	1109.99999	1077.00001	974	557	564.00002	478.99999
ENSG00000025800	881	765	767	934	786	465
ENSG00000026025	30869	29588.00001	28830.00001	981.00001	954	736.00001
ENSG00000026036	100	49	91	114	2	82.00001
ENSG00000026103	269.00001	307	317.99999	56	22	46.00001
ENSG00000026297	563.99999	756	610	625.00001	659	565.99999
ENSG00000026508	5273.00002	4817.00002	4544.00001	2030	1813.00001	1814.00003
ENSG00000026559	1	3	3	2	0	1
ENSG00000026652	209	177	187	134	116	97
ENSG00000026751	150.99999	142.00002	153	299.99999	225.99999	256.00002
ENSG00000026950	193	157	170	153.99999	96	93
ENSG00000027001	695.99999	572.99999	623.99999	506	518.99999	535.99999
ENSG00000027075	284	252	229.00001	181	154	142
ENSG00000027697	1153	1170.00001	1267.00001	307	137.99999	263
ENSG00000027847	307.99999	344	319	377	440	391.99999
ENSG00000027869	81	70.00001	73.00002	25	33	41.99998
ENSG00000028116	740	745	734.00001	615.99999	385.00001	499.00001
ENSG00000028137	17	11	6	45.00002	50.99999	39.99999
ENSG00000028203	1197	1350	1414.00001	1581	780	1473.00001
ENSG00000028277	1	7	0	12	17	9
