"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"86","AZGP1",1705.63449880185,4.13322268888897,0.205304525052432,3.50022711660931e-91,7.98825088577801e-89,"Upregulated"
"87","ENSG00000294133",403.815247486532,4.31638485691835,0.214875869794894,1.16879065274671e-90,2.63676484384594e-88,"Upregulated"
"88","COL1A1",792.524854369349,-4.03486401949334,0.202040141459926,7.51644282085441e-90,1.67642299141943e-87,"Downregulated"
"89","BMF",502.755481050125,3.53615318952692,0.177049068575324,1.12135858986482e-89,2.47291067901988e-87,"Upregulated"
"90","MILR1",526.842755299556,3.57324199355171,0.178901204010492,1.17473898071444e-89,2.56184466383137e-87,"Upregulated"
"91","MAOA",382.025665059432,-4.77232509772004,0.239431380668541,6.01557141057432e-89,1.29744637445431e-86,"Downregulated"
"92","ZNF714",493.15870466164,-6.67060592605891,0.334605197622881,3.51140471680402e-88,7.49112395399048e-86,"Downregulated"
"93","ENSG00000307251",579.16986628954,7.98311728579755,0.401407460381141,7.17836006476687e-88,1.51494272033526e-85,"Upregulated"
"94","ECH1",7406.80078520958,5.66842258033264,0.287551421037635,1.59866941145779e-87,3.33798771688107e-85,"Upregulated"
"95","HOXB7",544.900244086564,7.9020514260291,0.397980512915273,2.45132470030199e-87,5.06443683082392e-85,"Upregulated"
"96","TGFB1I1",408.641756140552,-4.05022173271821,0.206054395127298,6.53817612970748e-87,1.33671648851842e-84,"Downregulated"
"97","NIBAN1",370.989161374243,-5.03000614167385,0.256000392430823,8.31676540119837e-87,1.68281602607547e-84,"Downregulated"
"98","TRNP1",1050.03566195031,5.21124325186274,0.265704144996491,9.21572916327355e-87,1.84568486007725e-84,"Upregulated"
"99","ENSG00000303732",414.440290043474,-4.20225043175033,0.214265824979412,1.22344309777766e-86,2.42550683637194e-84,"Downregulated"
"100","BCL11A",431.53811735602,5.47692933473747,0.279365575155418,1.25669306902338e-86,2.46651148657219e-84,"Upregulated"
"101","MIR9-1HG",388.022982567688,-4.23462091070677,0.216439138006544,3.13731327514242e-86,6.09663838130894e-84,"Downregulated"
"102","NTAQ1",1951.80600047031,3.2106449445889,0.164374072471706,6.62846349738315e-86,1.27545934375627e-83,"Upregulated"
"103","TRPV2",385.676257456655,-4.72297190823034,0.243148590365571,3.69846670545911e-85,7.04755398330543e-83,"Downregulated"
"104","IGFBP7",438.880052640539,-5.59583831669546,0.288360958450608,5.56921383136465e-85,1.0510284602711e-82,"Downregulated"
"105","LINC02802",395.203947073,6.84653719199762,0.351310103437765,6.11329986082316e-85,1.14272129874644e-82,"Upregulated"
