"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"12734","ATP5MJ-203",9.31537432357434,-2.49555938844043,1.10261595051371,0.00317912560150503,0.00904386924798066
"12735","ATP5MJ-204",43.3415619491349,-0.957687090400738,0.372374741009977,0.00569776576235434,0.0150733333115373
"12736","ALDH6A1-202",129.036567404189,-0.156591319859955,0.233803411881626,0.490901201824022,0.607193676533949
"12737","SHMT2-205",16.2139269849102,1.20732477804642,0.540984187685348,0.0102450908715975,0.0250522564947101
"12738","ABCD4-218",11.6326998631295,-0.328939326452824,0.553919554536265,0.480419630348611,0.597098301810789
"12739","AKT1-205",9.58706177545846,0.0197213538036063,0.591627824403261,0.969027696317319,0.979746545276538
"12740","NDUFB1-202",289.400075952841,-0.260956435884493,0.232087539613024,0.246984922990671,0.35690652161406
"12741","TIMELESS-203",7.85388773764375,0.130923648450128,0.598417027537522,0.789054078941215,0.855321024435334
"12742","CALM1-205",225.757015088917,-2.16441943499877,0.27337196947156,3.55804350445899e-16,8.54006712099193e-15
"12743","PNP-203",8.02299220943468,0.649731340710522,0.790324423315912,0.239178763682471,0.347577497333241
"12744","ARHGAP5-AS1-201",226.874558151201,-0.821097836030878,0.202214540108338,3.27601237135313e-05,0.000151984713163626
"12745","GTF2A1-203",16.4232774671331,-1.8036394675464,0.598932155796991,0.000625037780648778,0.00214868030486195
"12746","DNAL1-202",104.116930826062,-0.449134373721894,0.237903047742469,0.0516348903567805,0.0994933518025936
"12747","CNIH1-203",7.23337402611283,-0.826451878260081,0.777075788568161,0.146279365523908,0.234034443919582
"12748","NDUFB1-203",61.0961620014999,-1.5431799871843,1.61773209436354,0.0314653039961471,0.0653770660317051
"12749","ENST00000553678",8.4463389520309,-3.10814590575323,1.15448906637035,0.00109900914276908,0.00354322066558749
"12750","APEX1-206",64.8095837404692,0.948084304536099,0.290810049903917,0.000657874505818981,0.00225094601731249
"12751","MRPL52-208",81.3256064310291,-1.05893730117547,0.325566872366159,0.000573146755269285,0.00198592734604679
"12752","LGALS3-203",6.50830983572297,-0.626625635985861,0.709787860639627,0.242644654353717,0.351860674065735
"12753","RBM23-207",23.304626103288,0.349038680374609,0.454792768261827,0.391469063612341,0.510544418527445
"12754","POLE2-203",22.268582465644,0.116670171977122,0.415007373648274,0.759850276836683,0.833509042345368
"12755","PSMA6-204",20.1952045237244,0.54177165267284,0.487552702585633,0.206581456642327,0.308911942301247
"12756","PRAF2-202",610.219157747788,-9.13901638064003,0.65695101938226,5.77514379976103e-43,8.98115071193392e-41
"12757","PAX8-AS1-209",20.0711723062016,2.18710696621767,0.938271512451245,0.00246277905283974,0.00725009518986371
"12758","ACTN1-211",196.126166303319,0.0696237105410574,0.553230300352423,0.885070679977774,0.926096875525263
"12759","ASB2-202",28.7679540786035,-1.04918486216268,0.924632664134966,0.0859945491533091,0.151993838495596
"12760","PRMT5-213",15.7389255017948,2.6577306317862,0.732490688960889,3.52732928268931e-05,0.000162566396288422
"12761","JKAMP-205",12.2996977460694,-2.3209871982164,0.753587923197889,0.000334667979623438,0.00123326554808084
"12762","CALM1-208",601.658281164056,0.109160019326813,0.981855090964815,0.737095041161444,0.815703784473133
"12763","MAP3K9-DT-201",126.292108270094,-0.747198805094887,0.244615230296997,0.00160700194555172,0.0049774829278956
"12764","FAM177A1-206",640.99428878687,0.624801860314627,0.209932076481619,0.00232267724258401,0.00688897439018979
"12765","SLIRP-203",16.0984182909321,-0.583969188494079,0.511728068607964,0.189374563895381,0.287749625720801
"12766","LIN52-202",6.22052971259069,-1.25648961289363,0.924809428841156,0.0492137466760801,0.0956262597018775
"12767","CHASERR-202",55.4928703473751,-0.638923916394097,0.337094978075779,0.0432556847018288,0.0858748052493576
"12768","AHSA1-204",7.42360163702696,-0.574702441431095,0.817794975971312,0.287808288728921,0.403151236491866
"12769","SNHG10-203",108.18179505627,-0.492353511811545,0.241572712138537,0.0355950934862361,0.0727163404060182
"12770","SYNJ2BP-202",78.4928199004871,-0.0972938299289899,0.345390338138024,0.762566026391771,0.835424078813039
"12771","JKAMP-206",9.2175968703673,-0.512476185973186,0.778639300140698,0.339572897600532,0.458344612673517
"12772","CKB-207",8.4592235498005,-6.3130491885039,2.7362024842441,3.52089737510237e-05,0.000162370213793333
"12773","MTHFD1-205",119.524431344354,0.564298403950241,0.480259841392053,0.182966784563603,0.280237888893874
