R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
ALKBH1-201 172 176 150 120 54 146
SIX4-201 7 10 7 2 0 2
CEP128-201 0 0 1 0 0 0
ERH-201 59 47 61 18 6 11
EIF5-201 483 854 707 260 98 267
ZFYVE21-201 7.81585 50.26555 3e-05 28.99997 20.99999 13
BDKRB1-201 2 1 3 0 0 0
APEX1-201 2751 2956 2950 3839 1941 3986
PABPN1-201 259 310 232 163 164 145
ARHGAP5-201 0 2.191 0 0 0 0
CINP-201 2508.70543 2268.27694 1992.48631 2253.89252 1416.94784 1870.19786
SRP54-201 0 0 0 470.9231 122.67519 440.29463
PCK2-201 534 597 545 538 273 671
NFKBIA-201 930.34647 1193.99997 924.27799 1534 1234.1305 1507.82189
EMC9-201 96 105 101 888 799 901
PSME2-201 0.00024 165.03424 0.00022 0 0 0
BRMS1L-201 91 102 60 88 34 80
PNN-201 536.28559 337.06819 429.79434 177.33554 94.84257 131.02584
RABGGTA-201 217 224 224 319 201 389
CYP24A1-201 27 33 20 11 4 14
PTPRA-201 0 0.29781 0.14894 2 0 0
NSFL1C-201 1366 1786 1445 1177 971 1378
ZFP64-201 45 35 33 24 7 18
PROCR-201 1962 1922 1736 550.38943 197 520.72119
MYBL2-201 23 15 6 5 3 14
PABPC1L-201 0 0 0 0 0 1
PABPC1L-203 5 0 0 5 0 2
CSTF1-201 392 423 372 275 156 245
TPD52L2-201 0 0 1 0 0 0
CTSZ-201 73 112 70 42 34 37
SLCO4A1-201 8 10 14 20 19 65
BIRC7-201 1 0 0 0 0 0
UBOX5-201 20 24 17 19 11 36
EEF1A2-201 33.91508 12 15.19262 48.7635 41.15531 82.03148
PTK6-201 6 7 7 6 1 4
ADISSP-201 25 20 27 47 17 48
TRIB3-201 1269 2474 1800 1211 877 1596
CSNK2A1-201 341 448 309 37 19 34
SLC52A3-201 3 2.5 4.07346 0.5 0 0
FERMT1-201 0 0 5.14509 0 0 5
TM9SF4-201 2 7 4 4 0 3
TLDC2-201 0 0 0 9 5 8
SNTA1-201 3.5 4.5 3 0.45537 1 3.5
PXMP4-201 1 0 2 2 0 1
CHMP4B-201 75 70 70 114 74 133
LBP-201 1 4 1 1 0 0
CST4-201 0 0 0 0 0 1
AHCY-201 2413 2230 1918 2756 1599 3211
PIGU-201 321 356 292 351 176 461
ACOT8-201 1170 1094 1101 1564 1083 1749
APMAP-201 1312 1335 1064 585 254 689
TXNL1-201 2076.7498 2120.53729 1969.52112 2151.3555 863 1774.33452
MYL12A-201 18856 18374 17685 11972 5961 9959
RNF125-201 29 41 30 8 9 8
ARSD-201 15 24 18 33 18 45
TAF9-201 2878 2963 2985 2234 976 2274
IDH3G-201 0 0 0 0 1 0
SLC25A43-201 46 56 39 37 18 36
PSMD10-201 1322 1393 1305 1147 487 1176
PGRMC1-201 826 833 781 974 495 1008
RHOXF1-201 0 0 0 0 2 0
WDR13-201 111.31093 132.15068 95.27139 13.59341 6.75484 36.64878
ABCD1-201 5 11 2 0 1 2
KCND1-201 2 0.5 0.5 0 0 0
SLC25A14-201 1 0 0.98518 0 0 0.74616
FMR1-201 0 1 0 0.36935 0 0
PQBP1-201 71 64 52 0.14612 98 88
PCSK1N-201 501.21516 391.64519 452.63897 855.00853 605.98212 1025.11905
RP2-201 43.15474 33.14286 26.49448 9 2 10
USP11-201 4.15419 77.03658 2.9033 4.12444 0.32277 74.72247
HTATSF1-201 156.83695 184.32143 136.57473 66.17888 47.52579 74.21942
TIMP1-201 18195 15706 17553 12336 10454 12237
PIN4-201 12 12 0.01797 14 11 5
MAGED2-201 0.45048 0 0.94166 0.89803 0 1.15766
GLA-201 469 481 404 588 362 600
NDFIP2-201 262 294 242.99999 203.99999 78.99999 220.99999
ACP5-201 98.89041 291.64168 135.5 46.5 28.5 51
NTHL1-201 476.9535 465.07022 374.14462 52.7955 11.82038 158.919
ZNF263-201 8 4.91336 6 1 2 6.53142
ZNF205-201 4 22 15 11 10 32.04505
PHAF1-201 50 63 46 36 12 39
CORO1A-201 23 29 23 82 58 115
LYRM1-201 52 36 40 40 9 26
NUTF2-201 6390 5553 5250 8266 4750 6475
ARL2BP-201 844 1104 835 393 211 346
PLLP-201 59.75787 149 47 132.23574 48.96115 540
CCL22-201 4 3 4 2 2 4
DHODH-201 201 207 195 150 91 158
ACD-201 18 19 20 32 21 37
POLR2C-201 568 622 541 940 520 991
PARD6A-201 4 4 0 0 0 14.53931
MMP15-201 0 3 5 0 0 0
USB1-201 436 572 450 330 116 317
CFAP263-201 104 110 90 30 8 44
NME3-201 1230 1210 1132 1449 1221 1592
PSMD7-201 6599 6864 6294 4773 2363 3817
SETD6-201 43 55 60 25 25 25
SLC38A7-201 22 27 25 20 8 24
HAS3-201 0 0 1 0 0 2
SMPD3-201 0 1 0 0 0 0
SLC7A6-201 11 9.34894 8 11 0 10
PLA2G15-201 0 21.15693 6.9537 0 25 0
FA2H-201 0 0 1 136 69 187
CMC2-201 1312 1461 1310 1182 678 899
MPG-201 14 14 8 21 11 22
HSDL1-201 76 93 57 30 17 34
USP10-201 145 213 180 148 23 134
ZNF500-201 5 4.96409 1 5.97116 2 2.97848
NME4-201 1181 1244 969 640 528 625
DECR2-201 286.70154 489.82165 363.45134 133.58108 109.42892 202.96187
ANTKMT-201 93 61 64 40 56 43
STUB1-201 619.29174 1546.31544 1125.86741 486.15789 445.5 1040.67512
RHBDL1-201 2 4 2.78769 0 0 2
CRYM-201 0 2 0 0 0 0
TOX3-201 0 0 0 1 0 0
QPRT-201 26 37 23 0 3 0
MAZ-201 1 0 0 0 0 0
CDIPT-201 320 355 326 198 110 209
BCKDK-201 583 663 494 596 369 751
KNOP1-201 82 164 122 35 28 37
CSK-201 9 14 5 4 3 10
MTFMT-201 238 244 207 93 46 96
CTSH-201 2535 2572 2413 2963 1636.39941 3436
EHD4-201 19.98109 33.18991 27.91753 11.93582 10.23254 13.99423
TGM5-201 5 5 4 3 0 3
DNAJC17-201 509.99998 225.62686 353.80407 294 258 317
RHOV-201 203 257 214 50 36 58
VPS18-201 19 27 25 13 6 18
OIP5-201 245.59419 254 251 210 117 178
BLOC1S6-201 184 144 167 45.35994 28 37
EXTL3-201 0 0 0 0 0 1
FDFT1-201 43.52942 70.36231 1559.54617 8.61427 61.89695 105.20274
AGO2-201 1 2 2 1 0 0
PAG1-201 5 6 6 2 0 0
BRF2-201 123 169 142 208 114 236
ZFAND1-201 300 275 242 1063 508 1056
RIPK2-201 360 522 466 220 100 188
CPQ-201 36 38 34 7 4 5
