"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"8909","DDX21",3863.73549363618,-0.570157343561858,0.166940011418536,0.000523388757342372,0.00118007480073047
"8910","BMS1",741.361167246786,-1.03610602997462,0.156050952802733,1.74965052054355e-11,1.09051733142928e-10
"8911","STK32C",700.679243831255,-0.992198840861862,0.194372770776594,1.87481234347357e-07,7.09270274968306e-07
"8912","JCAD",148.839479141701,0.3546618434347,0.241736810739345,0.131316394044154,0.180600298921212
"8913","FUNDC2",3677.92751547867,0.0251143275872027,0.175105893680801,0.873693247638962,0.901197044955324
"8914","PIP4P1",607.952264678887,0.979884352238044,0.234790773458771,1.73671684633391e-05,5.01567709579101e-05
"8915","METTL17",1250.84194387953,0.437321890368646,0.190868019413594,0.019693042697905,0.0329300490758059
"8916","NDRG2",104.740204439175,-0.696331076003619,0.261126911071689,0.00560577966783429,0.0104586157357969
"8917","RNASE7",151.304376297219,-1.49004000956408,0.284846891605291,5.43037495139001e-08,2.20895272893123e-07
"8918","ARHGEF40",91.8729410536545,-0.0707144355267082,0.260892864446138,0.777622031766079,0.822415541409248
"8919","NSMF",304.251371172783,0.869305188565143,0.239786983187455,0.000185333920244098,0.000450805409918319
"8920","ZNF219",72.951999000766,1.58284599771596,0.357356560854448,2.83703239422593e-06,9.13875509625346e-06
"8921","CASP7",282.536890729747,-0.424034553997437,0.19208522539306,0.0243622715094827,0.039909715626126
"8922","PPP1R36",13.6287147254968,-0.935226052664686,0.584148475527844,0.0560303623914783,0.0845473916089448
"8923","CCDC186",274.949066906201,-0.972188879791025,0.195250278583095,3.77924563662188e-07,1.37158384079101e-06
"8924","METTL3",656.295726530989,1.26697017307526,0.166768448673463,1.3311827612183e-14,1.14895004636902e-13
"8925","SALL2",20.1195073264104,0.10547347828217,0.442611635731108,0.793019548683047,0.835817564278926
"8926","PRAP1",7.59565261000049,-2.56113012681108,1.04514654662764,0.0021928140903835,0.00443009389109181
"8927","TRUB1",152.825548203876,-0.203661172308382,0.197305796024821,0.29187691203017,0.362367521817708
"8928","ZFYVE1",261.35415681943,-0.203582315131168,0.222235947225659,0.346693914650677,0.419516736303874
"8929","HSPA12A",103.42887582966,-1.73581991629379,0.257839193322453,4.64335809255146e-12,3.09352305779048e-11
"8930","FRAT1",25.5751034534259,0.549923591740089,0.435589850219828,0.162303717298315,0.217131419767844
"8931","UBTD1",395.005948741492,0.919407335761789,0.224820699129292,2.66123053023069e-05,7.44363283694423e-05
"8932","ANKRD2",34.6268716611229,0.754524687379883,0.402613350946837,0.0412701813110555,0.0643324476683414
"8933","E2F7",82.1196698870169,-2.55803554841863,0.323861754194832,4.2474047787482e-16,4.23381480916663e-15
"8934","ARHGAP42",72.3225330291654,0.996558373426733,0.342824922593705,0.00200889601648282,0.0040824810639375
"8935","ISCA2",2187.92088062958,0.288916765458408,0.15097159543906,0.0531174504970219,0.0805544893297055
"8936","LARGE2",91.5877160272993,0.13582755133933,0.261132244093306,0.591508690374348,0.659445672591726
"8937","PACSIN3",399.268052582809,1.46318787226162,0.256980495304983,4.32899562764305e-09,2.04292371204016e-08
"8938","TTC7B",81.0766750283587,-0.836950070694137,0.299237748671114,0.00332218730147849,0.00647899147119618
"8939","SLC39A13",250.932736591586,-1.17736340376901,0.210944634194503,1.08791837454186e-08,4.85948428246087e-08
"8940","PSMC3",3870.80026094704,0.222522658407117,0.154641161274019,0.145419606387588,0.197164314352666
"8941","AGBL2",13.9128744775063,-2.50374994275543,0.719132653968982,8.53704084181672e-05,0.000219688607056951
"8942","TC2N",172.02770666412,0.887555716542455,0.219370703748514,3.32221656093816e-05,9.14774753669099e-05
"8943","CPSF2",699.76108310919,-0.707766275895472,0.157172691690652,5.02637029528113e-06,1.56219429589046e-05
"8944","MOAP1",938.882387772869,0.194659333171646,0.215663276032148,0.356852875757249,0.429584849882699
"8945","IFI27L1",547.585264401059,-0.295202686579472,0.208016978120065,0.146363617006566,0.198334625171767
"8946","IFI27",55715.2695604464,-1.14126148772684,0.18754030016344,5.36251939337028e-10,2.82854523336949e-09
"8947","CLMN",260.39268217144,0.474703993427649,0.22064372834594,0.0274504659303866,0.0444970511080027
"8948","PTER",242.785272164962,-1.59502676381216,0.200856954197271,5.99198040869279e-16,5.88022997407067e-15
"8949","HACD1",752.319483055806,-2.93625561913725,0.159710757133774,2.51818054533384e-76,3.89167949317065e-74
