"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","exp"
"5127","ENST00000555011",17.490673343127,-2.58361696616492,0.723021670423262,6.14421146881332e-05,0.000268370336712708,"Downregulated"
"5128","RNF114-217",73.8697051213725,1.10564064756928,0.287785739938884,6.16461686308998e-05,0.000269209106926749,"Upregulated"
"5129","ZC3H14-201",58.6935110138037,-1.32881651935339,0.350453503553847,6.1679261073808e-05,0.000269301105963513,"Downregulated"
"5130","EPS8L2-211",24.5938610834086,2.8493502562372,0.833405623274367,6.17824258245206e-05,0.000269698955928716,"Upregulated"
"5131","EEF1D-227",95.1747979248607,2.11153722873002,0.59443833083955,6.18301390942582e-05,0.000269854635524619,"Upregulated"
"5132","DPH5-203",289.835303789263,1.29866101781169,0.343434228544983,6.20158353540887e-05,0.000270582369866928,"Upregulated"
"5133","HYCC1-201",151.612735269662,-1.00031817220654,0.258863436595174,6.20210460179932e-05,0.000270582369866928,"Downregulated"
"5134","RPL26-208",1201.51384830241,0.664955638130025,0.168585058394029,6.24083373538621e-05,0.000272218992345615,"Upregulated"
"5135","NDUFB11-208",55.7025704295862,1.24506230185804,0.328450841362887,6.24530368207068e-05,0.000272307886791843,"Upregulated"
"5136","RPS15-208",61.876571146232,1.20010744681856,0.314635073701834,6.24500487984547e-05,0.000272307886791843,"Upregulated"
"5137","KDF1-202",19.3140036555743,1.85629645242797,0.510856850745359,6.27725287697958e-05,0.000273647656077634,"Upregulated"
"5138","SLC25A53-201",163.914680526184,1.07155784411865,0.279116287965377,6.31332946861654e-05,0.000275166796652781,"Upregulated"
"5139","DCXR-218",83.504644673588,1.43851688031032,0.385870772143948,6.3328210026103e-05,0.00027596262606043,"Upregulated"
"5140","SNHG25-206",169.119104722933,1.20265051792749,0.316476112307707,6.33569256970768e-05,0.000276034045537031,"Upregulated"
"5141","HACL1-201",201.132365762048,-1.05669322542608,0.274359241953023,6.3379410472375e-05,0.000276078295685346,"Downregulated"
"5142","ELOVL3-201",31.7272740892981,-1.71953426893477,0.470381687090261,6.36151955478334e-05,0.000277051475903964,"Downregulated"
"5143","GSTM4-203",88.3503024024564,-1.11006000573908,0.290814277254814,6.37107399082089e-05,0.000277413632024972,"Downregulated"
"5144","CCDC106-202",11.2563535553792,-4.21050902932648,1.14618631932826,6.37344282985606e-05,0.000277462828016712,"Downregulated"
"5145","NMU-201",41.5740590575758,1.44233969661542,0.386099179309011,6.37895209663543e-05,0.000277648694367452,"Upregulated"
"5146","MSMO1-202",32.5811073705456,-1.70033354844879,0.461514299541407,6.38972318204946e-05,0.000278063468594667,"Downregulated"
"5147","WDR13-201",53.7766516956925,-1.75570427109496,0.480201323699228,6.43018902528901e-05,0.000279770066120696,"Downregulated"
"5148","SH3KBP1-205",43.7578974727366,-1.51780365744908,0.407515829103936,6.43186181455285e-05,0.000279788487713863,"Downregulated"
"5149","INHBE-201",9.73691242747592,-4.75125832256683,1.42954395284438,6.47829130947468e-05,0.000281753458116869,"Downregulated"
"5150","MIR205HG-256",6.53567797142166,-5.87045006892745,2.65436609801685,6.48766333649939e-05,0.00028210627719916,"Downregulated"
"5151","PFKL-204",17.256234108209,2.95255325553876,0.86838981121765,6.49494197995545e-05,0.000282367949328523,"Upregulated"
"5152","MTFMT-201",133.96578170715,-0.857918306572634,0.220222016465217,6.50373582083379e-05,0.000282640520030568,"Downregulated"
"5153","ROMO1-203",15873.6826024025,0.8380260020879,0.21463060841762,6.50327561707084e-05,0.000282640520030568,"Upregulated"
"5154","SIX3-AS1-201",6.57020184886794,-5.87988161540653,2.6582318922278,6.52804509893156e-05,0.000283641912971427,"Downregulated"
"5155","GABARAPL2-204",383.878553109972,1.76591044297081,0.485915627993187,6.54084879102488e-05,0.00028414309956588,"Upregulated"
"5156","ABCC5-203",32.8652650255934,-1.65074237515914,0.446224603778226,6.54602496657542e-05,0.000284312806635939,"Downregulated"
"5157","POLR2H-215",3511.70950732406,0.658531942585662,0.167280031697318,6.55704181085585e-05,0.000284736075843137,"Upregulated"
"5158","ENST00000846379",6.29485052215448,-5.8172598086847,2.63657039075414,6.57218400617563e-05,0.00028533828738716,"Downregulated"
"5159","RRBP1-205",1063.35748341519,-0.947179622342722,0.245336770172689,6.59049137712587e-05,0.000286077658265859,"Downregulated"
"5160","FOXP4-AS1-203",59.3755155118027,-1.14087725480037,0.299389235389717,6.59272668207731e-05,0.000286119227361316,"Downregulated"
"5161","RPS9-231",40.6428542743818,1.63524898113947,0.446675727213413,6.60942088840881e-05,0.000286788163873332,"Upregulated"
"5162","ENST00000467930",88.7179062602311,0.998646282724283,0.259422032674776,6.62473238584433e-05,0.000287396855963964,"Upregulated"
"5163","ENST00000733957",6.24033362347324,-5.80105400155393,2.63236972121133,6.65183382941242e-05,0.000288501756640495,"Downregulated"
"5164","LINC00581-217",14.2265083024472,3.08377701740309,0.908578487812974,6.65277784804643e-05,0.000288501756640495,"Upregulated"
"5165","APRT-209",41.2517495590617,1.44545958834145,0.387996749729722,6.67186324878878e-05,0.000289273389338579,"Upregulated"
"5166","ZNF669-204",179.681991427413,-0.977773902168609,0.253713173293731,6.67633845928041e-05,0.000289411388805895,"Downregulated"
"5167","UAP1-202",29.2276233631105,-1.59673194820612,0.431609129075605,6.68621054883056e-05,0.000289783237914673,"Downregulated"
"5168","DHRS4L1-210",21.9049971280948,1.88288991588705,0.523921821835695,6.74652471587668e-05,0.000292340701407396,"Upregulated"
"5169","PRSS21-201",287.579905972286,0.773693903277445,0.198326317262118,6.75055488434768e-05,0.000292458746527533,"Upregulated"
"5170","EPDR1-202",11.1541657974542,-3.62496892607896,1.01386320212737,6.75492004157407e-05,0.000292591256114139,"Downregulated"
"5171","ALDH3A2-202",32.9932336875258,-1.53151684390243,0.412674563375667,6.76849899582117e-05,0.000293122735471706,"Downregulated"
"5172","HAX1-206",16.0568946719534,2.46656770421242,0.711174614337606,6.81160855824138e-05,0.000294932641247597,"Upregulated"
"5173","MED21-201",568.112762717415,0.60758376993427,0.154469540047647,6.81422738228396e-05,0.000294988996711515,"Upregulated"
"5174","TRABD2A-202",10.6224794882235,-4.13791693874598,1.12501613914967,6.82214784792129e-05,0.000295230974021797,"Downregulated"
"5175","PRDX5-201",15348.4016783403,0.714598909555005,0.182221397897919,6.82245374012145e-05,0.000295230974021797,"Upregulated"
"5176","ENST00000728045",6.2366419892053,-5.79737576609672,2.63407646268813,6.82610888967643e-05,0.000295332075879857,"Downregulated"
"5177","SND1-214",71.3641225422402,2.19564416761436,0.627133340419364,6.85035168688783e-05,0.00029632369263312,"Upregulated"
"5178","PARD6G-AS1-208",12.8352197813442,-3.04225089480229,0.881346615905882,6.85859944812294e-05,0.000296623167325734,"Downregulated"
